Id,Weekly_Sales
1_1_2012-11-02,19542.622095628016
1_1_2012-11-09,19542.622095628016
1_1_2012-11-16,19542.622095628016
1_1_2012-11-23,19542.622095628016
1_1_2012-11-30,19542.622095628016
1_1_2012-12-07,19542.622095628016
1_1_2012-12-14,19542.622095628016
1_1_2012-12-21,19542.622095628016
1_1_2012-12-28,19542.622095628016
1_1_2013-01-04,19542.622095628016
1_1_2013-01-11,19542.622095628016
1_1_2013-01-18,19542.622095628016
1_1_2013-01-25,19542.622095628016
1_1_2013-02-01,19542.622095628016
1_1_2013-02-08,19542.622095628016
1_1_2013-02-15,19542.622095628016
1_1_2013-02-22,19542.622095628016
1_1_2013-03-01,19542.622095628016
1_1_2013-03-08,19542.622095628016
1_1_2013-03-15,19542.622095628016
1_1_2013-03-22,19542.622095628016
1_1_2013-03-29,19542.622095628016
1_1_2013-04-05,19542.622095628016
1_1_2013-04-12,19542.622095628016
1_1_2013-04-19,19542.622095628016
1_1_2013-04-26,19542.622095628016
1_1_2013-05-03,19542.622095628016
1_1_2013-05-10,19542.622095628016
1_1_2013-05-17,19542.622095628016
1_1_2013-05-24,19542.622095628016
1_1_2013-05-31,19542.622095628016
1_1_2013-06-07,19542.622095628016
1_1_2013-06-14,19542.622095628016
1_1_2013-06-21,19542.622095628016
1_1_2013-06-28,19542.622095628016
1_1_2013-07-05,19542.622095628016
1_1_2013-07-12,19542.622095628016
1_1_2013-07-19,19542.622095628016
1_1_2013-07-26,19542.622095628016
1_2_2012-11-02,19542.622095628016
1_2_2012-11-09,19542.622095628016
1_2_2012-11-16,19542.622095628016
1_2_2012-11-23,19542.622095628016
1_2_2012-11-30,19542.622095628016
1_2_2012-12-07,19542.622095628016
1_2_2012-12-14,19542.622095628016
1_2_2012-12-21,19542.622095628016
1_2_2012-12-28,19542.622095628016
1_2_2013-01-04,19542.622095628016
1_2_2013-01-11,19542.622095628016
1_2_2013-01-18,19542.622095628016
1_2_2013-01-25,19542.622095628016
1_2_2013-02-01,19542.622095628016
1_2_2013-02-08,19542.622095628016
1_2_2013-02-15,19542.622095628016
1_2_2013-02-22,19542.622095628016
1_2_2013-03-01,19542.622095628016
1_2_2013-03-08,19542.622095628016
1_2_2013-03-15,19542.622095628016
1_2_2013-03-22,19542.622095628016
1_2_2013-03-29,19542.622095628016
1_2_2013-04-05,19542.622095628016
1_2_2013-04-12,19542.622095628016
1_2_2013-04-19,19542.622095628016
1_2_2013-04-26,19542.622095628016
1_2_2013-05-03,19542.622095628016
1_2_2013-05-10,19542.622095628016
1_2_2013-05-17,19542.622095628016
1_2_2013-05-24,19542.622095628016
1_2_2013-05-31,19542.622095628016
1_2_2013-06-07,19542.622095628016
1_2_2013-06-14,19528.441775400956
1_2_2013-06-21,19528.441775400956
1_2_2013-06-28,19528.441775400956
1_2_2013-07-05,19528.441775400956
1_2_2013-07-12,19528.441775400956
1_2_2013-07-19,19528.441775400956
1_2_2013-07-26,19528.441775400956
