Id,Weekly_Sales
1_1_2012-11-02,19431.930194735673
1_1_2012-11-09,19431.930194735673
1_1_2012-11-16,19431.930194735673
1_1_2012-11-23,19431.930194735673
1_1_2012-11-30,19431.930194735673
1_1_2012-12-07,19431.930194735673
1_1_2012-12-14,19431.930194735673
1_1_2012-12-21,19431.930194735673
1_1_2012-12-28,19431.930194735673
1_1_2013-01-04,19431.930194735673
1_1_2013-01-11,19431.930194735673
1_1_2013-01-18,19431.930194735673
1_1_2013-01-25,19431.930194735673
1_1_2013-02-01,19431.930194735673
1_1_2013-02-08,19431.930194735673
1_1_2013-02-15,19431.930194735673
1_1_2013-02-22,19431.930194735673
1_1_2013-03-01,19431.930194735673
1_1_2013-03-08,19431.930194735673
1_1_2013-03-15,19431.930194735673
1_1_2013-03-22,19431.930194735673
1_1_2013-03-29,19431.930194735673
1_1_2013-04-05,19431.930194735673
1_1_2013-04-12,19431.930194735673
1_1_2013-04-19,19431.930194735673
1_1_2013-04-26,19431.930194735673
1_1_2013-05-03,19431.930194735673
1_1_2013-05-10,19431.930194735673
1_1_2013-05-17,19431.930194735673
1_1_2013-05-24,19431.930194735673
1_1_2013-05-31,19431.930194735673
1_1_2013-06-07,19431.930194735673
1_1_2013-06-14,19431.930194735673
1_1_2013-06-21,19431.930194735673
1_1_2013-06-28,19431.930194735673
1_1_2013-07-05,19431.930194735673
1_1_2013-07-12,19431.930194735673
1_1_2013-07-19,19431.930194735673
1_1_2013-07-26,19431.930194735673
1_2_2012-11-02,19431.930194735673
1_2_2012-11-09,19431.930194735673
1_2_2012-11-16,19431.930194735673
1_2_2012-11-23,19431.930194735673
1_2_2012-11-30,19431.930194735673
1_2_2012-12-07,19431.930194735673
1_2_2012-12-14,19431.930194735673
1_2_2012-12-21,19431.930194735673
1_2_2012-12-28,19431.930194735673
1_2_2013-01-04,19431.930194735673
1_2_2013-01-11,19431.930194735673
1_2_2013-01-18,19431.930194735673
1_2_2013-01-25,19431.930194735673
1_2_2013-02-01,19431.930194735673
1_2_2013-02-08,19431.930194735673
1_2_2013-02-15,19431.930194735673
1_2_2013-02-22,19431.930194735673
1_2_2013-03-01,19431.930194735673
1_2_2013-03-08,19431.930194735673
1_2_2013-03-15,19431.930194735673
1_2_2013-03-22,19431.930194735673
1_2_2013-03-29,19431.930194735673
