Id,Weekly_Sales
1_1_2012-11-02,14764.810133868445
1_1_2012-11-09,20844.289305022903
1_1_2012-11-16,17307.13778726031
1_1_2012-11-23,20733.753320092823
1_1_2012-11-30,17196.60180233023
1_1_2012-12-07,17086.065817400147
1_1_2012-12-14,16975.529832470067
1_1_2012-12-21,25486.800672086312
1_1_2012-12-28,25376.264687156232
1_1_2013-01-04,16864.993847539987
1_1_2013-01-11,16754.457862609906
1_1_2013-01-18,25155.19271729607
1_1_2013-01-25,25044.65673236599
1_1_2013-02-01,15870.169983169257
1_1_2013-02-08,18412.497636561122
1_1_2013-02-15,24934.12074743591
1_1_2013-02-22,24823.58476250583
1_1_2013-03-01,24713.048777575743
1_1_2013-03-08,19186.24953107169
1_1_2013-03-15,24602.512792645663
1_1_2013-03-22,20402.145365302582
1_1_2013-03-29,24049.83286799526
1_1_2013-04-05,16201.777937959498
1_1_2013-04-12,18744.105591351363
1_1_2013-04-19,23718.224913205013
1_1_2013-04-26,23607.688928274933
1_1_2013-05-03,14875.346118798525
1_1_2013-05-10,21065.36127488307
1_1_2013-05-17,17417.673772190392
1_1_2013-05-24,18301.96165163104
1_1_2013-05-31,18191.42566670096
1_1_2013-06-07,18080.889681770874
1_1_2013-06-14,22833.93703376437
1_1_2013-06-21,15428.026043448932
1_1_2013-06-28,15317.49005851885
1_1_2013-07-05,15206.95407358877
1_1_2013-07-12,22060.1851392538
1_1_2013-07-19,17749.281726980633
1_1_2013-07-26,14985.882103728607
1_2_2012-11-02,15980.705968099337
1_2_2012-11-09,18523.033621491202
1_2_2012-11-16,17528.209757120472
1_2_2012-11-23,25597.336657016393
1_2_2012-11-30,19517.857485861932
1_2_2012-12-07,19296.78551600177
1_2_2012-12-14,23386.616958414772
1_2_2012-12-21,25265.72870222615
1_2_2012-12-28,24270.90483785542
1_2_2013-01-04,16422.849907819662
1_2_2013-01-11,18854.641576281443
1_2_2013-01-18,17638.745742050553
1_2_2013-01-25,16091.241953029417
1_2_2013-02-01,21286.43324474323
1_2_2013-02-08,21175.89725981315
1_2_2013-02-15,15759.633998239175
1_2_2013-02-22,16643.921877679823
1_2_2013-03-01,15096.418088658687
1_2_2013-03-08,23497.152943344852
1_2_2013-03-15,22502.329078974122
1_2_2013-03-22,23828.7608981351
1_2_2013-03-29,15538.562028379012
1_2_2013-04-05,22612.865063904203
1_2_2013-04-12,18633.569606421283
1_2_2013-04-19,19960.00142558226
1_2_2013-04-26,17859.817711910713
1_2_2013-05-03,19738.929455722093
1_2_2013-05-10,16533.385892749742
1_2_2013-05-17,19075.71354614161
1_2_2013-05-24,15649.098013309094
1_2_2013-05-31,17970.353696840793
1_2_2013-06-07,20070.53741051234
1_2_2013-06-14,17295.52725996261
1_2_2013-06-21,15858.559455871555
1_2_2013-06-28,16963.919305172367
1_2_2013-07-05,17406.06324489269
1_2_2013-07-12,17184.99127503253
1_2_2013-07-19,17516.599229822772
1_2_2013-07-26,25033.04620506829
1_3_2012-11-02,20832.678777725207
1_3_2012-11-09,16742.847335312203
1_3_2012-11-16,18400.88710926342
1_3_2012-11-23,23596.07840097724
1_3_2012-11-30,25143.58218999837
1_3_2012-12-07,21053.75074758537
1_3_2012-12-14,19285.17498870407
1_3_2012-12-21,22822.32650646667
1_3_2012-12-28,14753.199606570744
1_3_2013-01-04,25475.19014478862
1_3_2013-01-11,25364.654159858535
1_3_2013-01-18,15969.095440801639
1_3_2013-01-25,17074.455290102447
1_3_2013-02-01,16853.383320242287
1_3_2013-02-08,17737.671199682936
1_3_2013-02-15,18511.423094193502
1_3_2013-02-22,25254.118174928455
1_3_2013-03-01,23706.61438590732
1_3_2013-03-08,21164.28673251545
1_3_2013-03-15,19506.246958564232
1_3_2013-03-22,17627.135214752852
1_3_2013-03-29,19174.63900377399
1_3_2013-04-05,25585.7261297187
1_3_2013-04-12,15526.951501081314
1_3_2013-04-19,20722.142792795126
1_3_2013-04-26,17958.743169543097
1_3_2013-05-03,18732.495064053666
1_3_2013-05-10,16190.167410661797
1_3_2013-05-17,18621.959079123586
1_3_2013-05-24,19948.39089828456
1_3_2013-05-31,14863.735591500825
1_3_2013-06-07,21274.82271744553
1_3_2013-06-14,16632.311350382122
1_3_2013-06-21,24811.97423520813
1_3_2013-06-28,23375.006431117075
1_3_2013-07-05,18069.279154473177
1_3_2013-07-12,15195.34354629107
1_3_2013-07-19,24701.43825027805
1_3_2013-07-26,20390.53483800488
1_4_2012-11-02,17848.207184613017
1_4_2012-11-09,18179.81513940326
1_4_2012-11-16,22048.5746119561
1_4_2012-11-23,15084.807561360989
1_4_2012-11-30,23817.1503708374
1_4_2012-12-07,18843.031048983747
1_4_2012-12-14,15637.487486011394
