Id,Weekly_Sales
1_1_2012-11-02,14867.003970124593
1_1_2012-11-09,20947.084958006897
1_1_2012-11-16,17409.58329232992
1_1_2012-11-23,20836.538030954493
1_1_2012-11-30,17299.036365277516
1_1_2012-12-07,17188.489438225108
1_1_2012-12-14,17077.942511172703
1_1_2012-12-21,25590.05589420793
1_1_2012-12-28,25479.508967155518
1_1_2013-01-04,16967.3955841203
1_1_2013-01-11,16856.84865706789
1_1_2013-01-18,25258.41511305071
1_1_2013-01-25,25147.868185998304
1_1_2013-02-01,15972.473240648647
1_1_2013-02-08,18515.052562853976
1_1_2013-02-15,25037.3212589459
1_1_2013-02-22,24926.774331893495
1_1_2013-03-01,24816.22740484109
1_1_2013-03-08,19288.881052220815
1_1_2013-03-15,24705.68047778868
1_1_2013-03-22,20504.89724979727
1_1_2013-03-29,24152.945842526657
1_1_2013-04-05,16304.114021805864
1_1_2013-04-12,18846.69334401119
1_1_2013-04-19,23821.305061369436
1_1_2013-04-26,23710.75813431703
1_1_2013-05-03,14977.550897176998
1_1_2013-05-10,21168.178812111706
1_1_2013-05-17,17520.13021938232
1_1_2013-05-24,18404.505635801564
1_1_2013-05-31,18293.95870874916
1_1_2013-06-07,18183.411781696755
1_1_2013-06-14,22936.929644950193
1_1_2013-06-21,15530.285532439026
1_1_2013-06-28,15419.738605386621
1_1_2013-07-05,15309.191678334215
1_1_2013-07-12,22163.101155583354
1_1_2013-07-19,17851.771000539542
1_1_2013-07-26,15088.097824229404
1_2_2012-11-02,16083.020167701054
1_2_2012-11-09,18625.59948990638
1_2_2012-11-16,17630.677146434726
1_2_2012-11-23,25700.602821260334
1_2_2012-11-30,19620.52183337803
1_2_2012-12-07,19399.42797927322
1_2_2012-12-14,23489.664280212222
1_2_2012-12-21,25368.962040103113
1_2_2012-12-28,24374.039696631466
1_2_2013-01-04,16525.207875910677
1_2_2013-01-11,18957.240271063594
1_2_2013-01-18,17741.224073487138
1_2_2013-01-25,16193.56709475346
1_2_2013-02-01,21389.272666216515
1_2_2013-02-08,21278.72573916411
1_2_2013-02-15,15861.926313596243
1_2_2013-02-22,16746.301730015486
1_2_2013-03-01,15198.644751281809
1_2_2013-03-08,23600.211207264627
1_2_2013-03-15,22605.28886379298
1_2_2013-03-22,23931.85198842184
1_2_2013-03-29,15640.832459491432
1_2_2013-04-05,22715.835790845384
1_2_2013-04-12,18736.146416958785
1_2_2013-04-19,20062.709541587654
1_2_2013-04-26,17962.317927591946
1_2_2013-05-03,19841.615687482838
1_2_2013-05-10,16635.75480296308
1_2_2013-05-17,19178.334125168403
1_2_2013-05-24,15751.379386543837
1_2_2013-05-31,18072.86485464435
1_2_2013-06-07,20173.25646864006
1_2_2013-06-14,17385.978604484095
1_2_2013-06-21,15948.868552802825
1_2_2013-06-28,17054.33782332688
1_2_2013-07-05,17496.5255315365
1_2_2013-07-12,17275.43167743169
1_2_2013-07-19,17607.072458588904
1_2_2013-07-26,25124.263498152482
1_3_2012-11-02,20923.480270161075
1_3_2012-11-09,16833.24396922207
1_3_2012-11-16,18491.447875008147
1_3_2012-11-23,23687.15344647121
1_3_2012-11-30,25234.810425204887
1_3_2012-12-07,21144.574124265884
1_3_2012-12-14,19375.823291427398
1_3_2012-12-21,22913.32495710437
1_3_2012-12-28,14843.39928227877
1_3_2013-01-04,25566.451206362108
1_3_2013-01-11,25455.904279309696
1_3_2013-01-18,16059.41547985523
1_3_2013-01-25,17164.884750379286
1_3_2013-02-01,16943.790896274473
1_3_2013-02-08,17828.16631269372
1_3_2013-02-15,18601.99480206056
1_3_2013-02-22,25345.35735225729
1_3_2013-03-01,23797.700373523614
1_3_2013-03-08,21255.12105131829
1_3_2013-03-15,19596.917145532207
1_3_2013-03-22,17717.61938564131
1_3_2013-03-29,19265.276364374993
1_3_2013-04-05,25676.998133414512
1_3_2013-04-12,15617.227771645608
1_3_2013-04-19,20812.93334310867
1_3_2013-04-26,18049.26016679853
1_3_2013-05-03,18823.088656165368
1_3_2013-05-10,16280.509333960043
1_3_2013-05-17,18712.541729112963
1_3_2013-05-24,20039.104853741832
1_3_2013-05-31,14953.946209331174
1_3_2013-06-07,21365.667978370693
1_3_2013-06-14,16722.697042169664
1_3_2013-06-21,24903.169644047674
1_3_2013-06-28,23466.0595923664
1_3_2013-07-05,18159.807093850934
1_3_2013-07-12,15285.586990488391
1_3_2013-07-19,24792.62271699527
1_3_2013-07-26,20481.29256195145
1_4_2012-11-02,17938.713239746125
1_4_2012-11-09,18270.354020903338
1_4_2012-11-16,22139.496467737532
1_4_2012-11-23,15175.040063435987
1_4_2012-11-30,23908.24730057602
1_4_2012-12-07,18933.635583217772
1_4_2012-12-14,15727.774698698013
1_4_2012-12-21,25013.716571100078
1_4_2012-12-28,23576.606519418805
1_4_2013-01-04,15064.49313638358
1_4_2013-01-11,16501.60318806485
1_4_2013-01-18,20149.651780794236
1_4_2013-01-25,15506.680844593202
1_4_2013-02-01,24350.435008785644
1_4_2013-02-08,18380.900947955743
1_4_2013-02-15,15838.32162575042
1_4_2013-02-22,19818.010999637016
1_4_2013-03-01,19154.72943732258
1_4_2013-03-08,15396.133917540797
1_4_2013-03-15,22692.23110299956
1_4_2013-03-22,22581.684175947157
1_4_2013-03-29,16169.962406907634
1_4_2013-04-05,16612.15011511726
1_4_2013-04-12,24682.075789942857
1_4_2013-04-19,24129.341154680835
1_4_2013-04-26,20930.252947715024
1_4_2013-05-03,14850.171959832722
1_4_2013-05-10,17392.75128203805
1_4_2013-05-17,22920.097634658327
1_4_2013-05-24,19603.689823086163
1_4_2013-05-31,17503.298209090455
1_4_2013-06-07,25573.223883916056
1_4_2013-06-14,17613.84513614286
1_4_2013-06-21,25462.676956863652
1_4_2013-06-28,18498.220552562103
1_4_2013-07-05,15955.641230356776
1_4_2013-07-12,17171.657427933234
1_4_2013-07-19,23693.926124025165
1_4_2013-07-26,20045.87753129578
1_5_2012-11-02,18608.767479614507
1_5_2012-11-09,25131.03617570644
1_5_2012-11-16,20709.159093610215
1_5_2012-11-23,17061.11050088083
1_5_2012-11-30,20819.70602066262
1_5_2012-12-07,18719.314406666912
1_5_2012-12-14,16066.188157409182
1_5_2012-12-21,21151.34680181984
1_5_2012-12-28,14960.718886885126
1_5_2013-01-04,19382.595968981346
1_5_2013-01-11,17282.204354985646
1_5_2013-01-18,23472.832269920356
1_5_2013-01-25,19272.04904192894
1_5_2013-02-01,15624.00044919956
1_5_2013-02-08,25241.583102758843
1_5_2013-02-15,16840.01664677602
1_5_2013-02-22,16950.563573828425
1_5_2013-03-01,22146.269145291488
1_5_2013-03-08,18829.861333719324
1_5_2013-03-15,17724.392063195264
1_5_2013-03-22,23804.47305107757
1_5_2013-03-29,15071.265813937533
1_5_2013-04-05,25020.489248654034
1_5_2013-04-12,24909.942321601622
1_5_2013-04-19,23583.37919697276
1_5_2013-04-26,18166.57977140489
1_5_2013-05-03,15734.547376251965
1_5_2013-05-10,24799.395394549218
1_5_2013-05-17,25352.130029811247
1_5_2013-05-24,22588.456853501106
1_5_2013-05-31,18056.032844352485
1_5_2013-06-07,17945.485917300073
1_5_2013-06-14,16176.735084461588
1_5_2013-06-21,21261.893728872245
1_5_2013-06-28,24136.113832234783
1_5_2013-07-05,15845.094303304371
1_5_2013-07-12,20156.424458348185
1_5_2013-07-19,17834.93899024767
1_5_2013-07-26,18277.126698457294
1_6_2012-11-02,16508.375865618807
1_6_2012-11-09,15513.453522147154
1_6_2012-11-16,15402.906595094748
1_6_2012-11-23,22699.003780553518
1_6_2012-11-30,15181.812740989937
1_6_2012-12-07,16618.922792671212
1_6_2012-12-14,16729.469719723616
1_6_2012-12-21,23915.019978129974
1_6_2012-12-28,18387.6736255097
1_6_2013-01-04,19824.78367719097
1_6_2013-01-11,18940.40826077173
1_6_2013-01-18,16287.282011513993
1_6_2013-01-25,21372.44065592465
1_6_2013-02-01,24357.2076863396
1_6_2013-02-08,24688.848467496813
1_6_2013-02-15,20488.065239505406
1_6_2013-02-22,15292.359668042343
1_6_2013-03-01,19161.502114876537
1_6_2013-03-08,14836.853823263855
1_6_2013-03-15,25670.452674399596
1_6_2013-03-22,20916.93481114616
1_6_2013-03-29,25449.358820294787
1_6_2013-04-05,25228.264966189978
1_6_2013-04-12,25007.17111208516
1_6_2013-04-19,25117.718039137573
1_6_2013-04-26,21138.028665250968
1_6_2013-05-03,23680.6079874563
1_6_2013-05-10,25559.90574734719
1_6_2013-05-17,20032.559394726915
1_6_2013-05-24,17047.792364311965
1_6_2013-05-31,18153.261634836024
1_6_2013-06-07,17600.526999573995
1_6_2013-06-14,22906.77949808946
1_6_2013-06-21,17268.886218416774
1_6_2013-06-28,18484.902415993238
1_6_2013-07-05,18263.80856188843
1_6_2013-07-12,15942.32309378791
1_6_2013-07-19,16826.698510207156
1_6_2013-07-26,17158.33929136437
1_7_2012-11-02,21248.575592303372
1_7_2012-11-09,18374.355488940833
1_7_2012-11-16,14947.40075031626
1_7_2012-11-23,16937.24543725956
1_7_2012-11-30,20806.387884093754
1_7_2012-12-07,24896.624185032757
1_7_2012-12-14,20695.84095704135
1_7_2012-12-21,19590.37168651729
1_7_2012-12-28,19258.730905360077
1_7_2013-01-04,16052.870020840315
1_7_2013-01-11,17711.0739266264
1_7_2013-01-18,25338.811893242382
1_7_2013-01-25,17379.433145469186
1_7_2013-02-01,19369.27783241248
1_7_2013-02-08,16273.963874945128
1_7_2013-02-15,23791.154914508705
1_7_2013-02-22,16495.057729049935
1_7_2013-03-01,17489.98007252159
1_7_2013-03-08,21359.122519355784
1_7_2013-03-15,23459.514133351484
1_7_2013-03-22,15610.682312630694
1_7_2013-03-29,16605.604656102347
1_7_2013-04-05,20143.10632177932
1_7_2013-04-12,23901.70184156111
1_7_2013-04-19,15057.947677368666
1_7_2013-04-26,15721.229239683098
1_7_2013-05-03,18595.449343045642
1_7_2013-05-10,18705.996270098047
1_7_2013-05-17,23570.061060403896
1_7_2013-05-24,15279.041531473476
1_7_2013-05-31,19148.183978307672
1_7_2013-06-07,18816.54319715045
1_7_2013-06-14,15500.135385578287
1_7_2013-06-21,24122.795695665918
1_7_2013-06-28,15831.776166735504
1_7_2013-07-05,24786.077257980352
1_7_2013-07-12,17821.620853678804
1_7_2013-07-19,16163.41694789272
1_7_2013-07-26,15389.588458525883
